"Kategorie","Datensatz","Beschreibung","Link","offen"
"Umwelt","Badegewässer","Wasserqualität-Indikatoren für Badegewässer","<a target='_blank' href='https://daten.berlin.de/datensaetze/liste-der-badestellen'>daten.berlin.de</a>","Ja"
"Stadtraum","Straßenverzeichnis","Auskünfte aus dem öffentlichen Straßenverzeichnis (als Flächengeometrie) zu allen öffentlichen gewidmeten Straßen, inklusive Angaben wie Breite der Straße","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_vms_detailnetz_wms_spatial@senstadt&bbox=389592,5818793,393010,5820622'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtentwicklung und Wohnen","Erhaltungsverordnungen (Milieuschutz)","Flächengeometrien von Milieuschutzgebieten","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_erhaltgeb@senstadt&bbox=387736,5818268,394856,5822381'>fbinter.stadt-berlin.de</a>","Ja"
"Verkehr","Ampelanlagen","Standorte der Lichtsignalanlagen","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=lsa@senstadt&bbox=388404,5818737,394888,5821912'>fbinter.stadt-berlin.de</a>","Ja"
"Regierung und öffentlicher Sektor","Wahlergebnisse","Wahlergebnisse und Wahlbeteiligung zu Europa-, Bundestags-, Landtags- und Kommunalwahlen","<a target='_blank' href='https://www.wahlen-berlin.de/home.asp'>wahlen-berlin.de</a>","Ja"
"Justiz, Rechtssystem und öffentliche Sicherheit","Kriminalitätsstatistik","Allgemeine polizeiliche Kriminalstatistik wie Delikte, Tatverdächtige, Geschlecht, Alter, Jahre","<a target='_blank' href='https://daten.berlin.de/datensaetze/kriminalit%C3%A4tsatlas-berlin'>daten.berlin.de</a>","Ja"
"Verkehr","KFZ-Zulassungen","Absoluter Bestand und monatlich neue Fahrzeugzulassungen jeder Art, inklusive Daten zu Antriebsarten, Automarke, Postleitzahl der Besitzer, usw. ","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/strassenverkehr'>statistik-berlin-brandenburg.de</a>","Ja"
"Bevölkerung und Gesellschaft","Asylwerber*innen","Anzahl und Herkunftsländer von Asylbewerber*innen sowie Höhe von Leistungen","<a target='_blank' href='http://gsi-berlin.info/gsi_suchen.asp?seite=2&CBFest=Kategorie,Bereich&kategorie=Sozialdaten&bereich=Asylbewerberleistungsgesetz+%2D+AsylbLG'>gsi-berlin.info</a>","Ja"
"Bevölkerung und Gesellschaft","Sozialindikatoren","Sozio-Ökonomische Indikatoren (Wohnlage, Einkommen, usw.) auf LOR-Ebene","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/gesellschaft/soziales'>statistik-berlin-brandenburg.de</a>","Ja"
"Verkehr","Fahrradwege","Liniengeometrien aller Fahrradstraßen und -routen mit Art der Straße (abgetennter Weg, markierter Streifen, usw.)","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=wmsk_radverkehrsanlagen@senstadt&bbox=382691,5818380,393969,5824453'>fbinter.stadt-berlin.de</a>","Ja"
"Verkehr","Messstellen motorisierte Fahrzeuge","Messergebnisse der Verkehrsdatenerfassungen motorisierter Fahrzeuge in einzelnen Straßen als Zeitreihen","<a target='_blank' href='https://daten.berlin.de/datensaetze/verkehrsdetektion-berlin-0'>daten.berlin.de</a>","Ja"
"Wirtschaft und Finanzen","Wirtschaftsleistung","Bruttoinlandsprodukt, wirtschaftliche Kennzahlen","<a target='_blank' href='https://www.statistikportal.de/de/vgrdl'>statistikportal.de</a>","Ja"
"Bevölkerung und Gesellschaft","Arbeitslosenzahlen","Statistische Informationen zu der Arbeitslosenquote (SGB, SGB II, SGB III)","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/arbeitslosigkeit'>statistik-berlin-brandenburg.de</a>","Ja"
"Stadtraum","Stadtpläne","Stadtkartenwerk, inklusive Eigenschaften wie Gebäudenumrisse, Straßen, Grenzen, usw.","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k5_farbe@senstadt&bbox=389608,5819527,390675,5820126'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtentwicklung und Wohnen","Brachflächen","Standorte aller Brachflächen","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=showMap&mapId=k06_01_1realnutz@senstadt'>fbinter.stadt-berlin.de</a>","Ja"
"Umwelt","Klimabilanz","Angaben zu verschiedenen Energie-Indikatoren wie CO2 Gesamt, CO2 pro Kopf, Energie nach Bereichsverbrauch, usw.","<a target='_blank' href='https://energieatlas.berlin.de/'>energieatlas.berlin.de</a>","Ja"
"Bevölkerung und Gesellschaft","Geburten und Sterbefälle","Anzahl Geburten und Sterbefälle nach Geschlecht und Alter (Sterbefälle), aufgeschlüsselt nach Bezirk oder detaillierter","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/bevoelkerung/demografie/geburten-sterbefaelle-eheschliessungen'>statistik-berlin-brandenburg.de</a>","Ja"
"Bevölkerung und Gesellschaft","Einwohner-Bewegungsdaten (Außen- und Binnenwanderung)","Einwohner-Bewegungsdaten nach Jahr, Stadtteil, usw. gegliedert","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/bevoelkerung/demografie/zu-und-fortzuege'>statistik-berlin-brandenburg.de</a>","Ja"
