,Kennung,Name,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
290,08010405,Hertzbergplatz,7.61,7.32,7.98,7.52,7.89,8.69,9.73,10.45,10.64,11.17,12.17,12.78,13.73
291,08010406,Treptower Straße Nord,8.21,8.23,9.5,10.41,11.35,11.29,13.2,13.15,13.57,15.16,17.42,18.17,19.6
292,08010407,Gewerbegebiet Ederstraße,null,null,null,null,null,null,null,null,null,null,null,null,null
293,08010508,Weiße Siedlung,8.32,8.57,9.95,10.9,12.59,13.09,14.43,14.31,14.99,15.99,18.22,18.85,18.42
294,08010509,Schulenburgpark,7.5,8.32,9.05,11.52,13.66,14.03,14.64,15.06,14.77,17.57,18.22,18.41,19.6
295,08010510,Gewerbegeb. Köllnische Heide,null,null,null,null,null,null,null,null,null,null,null,null,null
296,08020619,Buschkrugallee Nord,5.79,6.09,6.02,7.03,7.36,7.48,7.26,8.26,8.65,8.82,9.42,9.16,9.74
297,08020620,Tempelhofer Weg,4.69,4.93,5.13,5.16,5.33,5.37,5.39,6.34,6.76,7.57,7.9,8.47,8.68
298,08020621,Mohriner Allee Nord,null,null,null,null,null,null,0.7,0.68,0.64,1.02,0.8,1.17,1.13
299,08020622,Parchimer Allee,4.38,4.37,4.56,4.53,4.82,5.44,5.88,6.4,5.63,6.84,6.88,6.91,6.67
300,08020623,Ortolanweg,4.8,3.18,3.77,4.35,1.83,3.43,4.26,4.74,4.0,4.02,3.45,4.19,4.82
301,08020624,Britzer Garten,null,null,null,null,null,null,6.73,null,null,null,12.34,11.16,11.21
302,08020625,Handwerker-Siedlung,3.49,3.91,4.08,3.95,3.75,4.04,4.49,5.19,4.97,5.28,5.13,4.98,5.61
303,08020726,Buckow West,2.17,2.12,2.13,2.36,2.16,2.21,2.63,2.49,2.7,2.79,2.72,3.07,3.18
304,08020727,Buckow Mitte,2.16,2.34,2.39,2.51,2.48,2.81,3.27,3.36,3.18,3.61,3.45,3.65,3.66
305,08020728,Buckow Ost,5.33,5.16,5.36,5.84,5.68,5.55,5.66,6.0,6.08,6.24,6.4,6.98,7.06
306,08030829,Gropiusstadt Nord,5.08,4.86,5.26,5.59,5.67,6.13,6.79,7.04,6.98,7.27,7.51,8.14,8.39
307,08030830,Gropiusstadt Süd,3.26,3.92,3.77,4.37,4.29,4.37,4.68,5.22,5.6,5.4,5.48,5.53,6.08
308,08030831,Gropiusstadt Ost,3.96,4.06,4.2,4.96,5.14,5.66,5.95,6.35,6.44,7.2,7.22,6.96,7.27
309,08040932,Goldhähnchenweg,2.82,3.21,3.39,3.2,2.88,3.25,3.28,3.76,3.9,3.75,3.87,3.64,3.4
310,08040933,Vogelviertel Süd,1.92,1.61,1.55,1.63,1.63,1.96,2.51,2.87,3.11,3.62,3.44,3.24,2.83
311,08040934,Vogelviertel Nord,1.65,1.62,1.77,1.5,1.25,1.62,1.59,1.73,2.17,3.11,3.38,3.48,2.9
312,08041035,Blumenviertel,0.94,0.82,0.84,0.84,0.73,0.86,0.88,0.91,0.93,1.35,1.23,1.16,1.06
313,08041036,Zittauer Straße,0.81,0.84,0.86,1.14,1.18,1.35,1.2,1.11,1.2,1.32,1.29,1.49,1.7
314,08041037,Alt-Rudow,2.05,2.32,2.31,2.44,2.52,2.67,3.09,3.21,2.98,3.36,3.46,3.27,3.48
315,08041038,Waßmannsdorfer Chaussee,2.11,1.85,1.63,1.64,1.78,1.95,2.05,1.84,2.73,2.63,2.61,2.44,2.24
316,08041039,Frauenviertel,1.61,1.84,1.35,2.68,3.3,2.97,3.27,3.62,3.56,3.99,3.36,3.45,3.53
317,08041040,Waltersdorfer Chaussee Ost,2.85,2.7,2.17,2.36,2.37,2.54,2.64,2.68,2.74,2.85,2.71,2.6,3.0
318,09010101,Elsenstr.,2.97,3.9,4.25,3.45,3.31,3.42,4.02,3.74,3.7,4.21,4.55,4.68,4.87
319,09010102,Am Treptower Park Nord,null,null,null,null,null,null,null,null,null,null,null,null,null
320,09010201,Am Treptower Park Süd,0.98,1.41,1.53,1.4,1.44,1.56,1.61,1.78,2.44,2.74,2.53,2.31,2.11
321,09010202,Köpenicker Landstraße,1.35,1.48,1.66,1.46,1.41,1.35,1.91,1.97,2.1,2.19,1.92,1.71,1.99
322,09010301,Baumschulenstraße,1.12,1.34,1.46,1.26,1.34,1.55,1.56,1.65,1.58,1.86,1.8,1.76,1.79
323,09010302,Späthsfelde,null,null,null,0.7,0.53,null,0.69,1.02,0.99,0.83,1.13,1.27,0.78
324,09010401,Johannisthal West,0.92,1.07,1.23,0.86,0.86,0.94,1.08,1.12,1.29,1.25,1.19,1.43,1.59
325,09010402,Johannisthal Ost,1.66,2.02,2.09,1.73,1.72,2.28,2.84,2.82,2.97,3.47,3.59,3.51,3.27
326,09020501,Oberschöneweide West,4.13,4.06,4.87,3.79,3.51,3.83,4.23,5.07,5.81,7.28,6.78,7.4,7.54
327,09020502,Oberschöneweide Ost,2.85,3.72,3.77,3.34,3.42,3.46,4.4,4.49,4.39,4.84,4.49,4.68,5.59
328,09020601,Schnellerstr,1.21,1.44,1.59,1.74,1.85,2.26,2.43,2.63,2.81,2.98,2.29,2.78,3.39
329,09020602,Oberspree,0.28,0.46,0.27,0.26,null,0.36,0.63,0.45,0.45,1.86,1.96,2.24,2.24
330,09020701,Adlershof West,null,null,null,null,null,null,null,null,null,null,null,null,1.97
331,09020702,Adlershof Ost,1.74,1.73,1.81,1.62,1.6,1.63,1.84,2.15,1.89,2.26,2.22,2.36,2.39
332,09020801,Spindlersfeld,1.66,2.18,2.46,1.84,2.54,2.6,2.67,2.46,2.63,3.58,3.28,3.44,3.94
333,09020802,Kölln. Vorstadt,2.3,1.95,1.84,1.77,1.78,2.24,2.98,3.03,2.68,3.16,2.32,2.4,2.48
334,09030901,Dorf Altglienicke,0.58,0.55,0.73,0.79,0.78,0.78,0.67,0.66,0.6,0.78,0.84,0.74,0.65
335,09030902,Wohngebiet II,4.46,4.8,4.69,3.83,4.14,4.22,5.27,5.37,4.89,5.72,5.99,5.83,6.03
336,09030903,Kölner Viertel,4.34,4.42,3.53,3.53,3.47,3.87,4.27,4.33,4.95,4.94,5.02,4.97,5.17
337,09031001,Bohnsdorf,0.57,0.75,0.72,0.74,0.65,0.69,0.94,1.08,1.04,1.14,1.26,1.25,1.3
338,09031101,Grünau,0.69,0.67,0.48,0.48,0.54,0.67,0.8,0.8,0.85,0.86,1.15,1.25,1.4
339,09031201,Karolinenhof,null,null,0.67,1.23,1.0,null,null,null,null,null,null,null,0.54
340,09031202,Schmöckw./Rauchf.-werder,0.63,null,0.59,null,null,null,null,null,0.55,0.7,1.01,0.83,0.96
